samples	SOC	TP	TK	TN	AP	AK	AN	pH	HFI	Elevation
M53_1	26.87566597	0.517698979	8.836751564	3.521634234	108.9058235	115.8158641	257.379566	5.011781034	14.12549934	5300
M53_2	37.15282633	0.946498152	7.420814366	2.933459672	109.8954698	97.02763523	401.3614693	5.56093042	14.12549934	5300
M53_3	41.1215077	0.635802869	6.94143407	3.624906094	102.1987067	154.2365007	359.7589647	7.637288545	14.12549934	5300
M51_1	21.48950491	1.044178677	11.56893747	3.886078708	186.1330682	162.124172	460.5535733	6.103757935	9.793698311	5100
M51_2	31.62604331	0.578448223	10.71811459	2.053747147	268.9671564	186.3638695	518.4200974	6.897158359	9.793698311	5100
M51_3	47.68445177	0.8973731	10.01994794	2.880174145	222.8997755	115.2519585	508.8763292	6.439083705	9.793698311	5100
M49_1	43.31390662	0.569008258	7.835686533	3.169230014	171.0582266	125.9578169	571.755332	5.665108014	13.37781448	4900
M49_2	40.22355134	1.219260045	7.8687101	3.446529274	217.0000306	244.5285536	486.3514459	5.644101088	13.37781448	4900
M49_3	43.30254204	0.851731697	7.083603367	2.204240712	133.3417428	226.1836295	408.7432221	6.630790898	13.37781448	4900
M47_1	43.44537489	0.699022152	8.570110797	2.079343503	396.9138187	93.84150126	348.1677174	5.224407671	12.9227396	4700
M47_2	33.36702914	1.011957914	8.694467423	2.888787462	316.7288201	128.1551354	475.643233	6.876160285	12.9227396	4700
M47_3	47.59759597	1.049019934	10.91142178	2.681869035	306.3573612	133.0233633	397.3390496	6.289432044	12.9227396	4700
M45_1	15.96002749	0.707267198	9.64037719	0.515057489	177.6441982	138.5671077	164.6648442	6.664548501	6.815228081	4500
M45_2	12.58238482	0.784391375	10.99429239	0.336959309	218.1630498	142.0640521	164.4926778	8.163173997	6.815228081	4500
M45_3	20.47758769	0.608341427	7.934330416	0.407983202	199.992752	110.6288401	167.492478	6.772277502	6.815228081	4500
M43_1	40.1374232	0.654581216	4.487910752	4.953905937	643.4184447	133.0054225	440.1837625	4.914933781	13.09518642	4300
M43_2	49.3537786	0.487854499	5.257301223	3.344690704	700.1518267	223.1786602	294.8260226	6.388146285	13.09518642	4300
M43_3	76.0787982	0.597564286	5.665788026	4.72140336	674.8297287	204.2159174	430.4902148	6.126919934	13.09518642	4300
M41_1	126.7343998	0.823235985	4.075502757	10.82025357	527.8413947	649.2775065	326.6657975	5.727772958	9.718881989	4100
M41_2	80.21921981	0.85562747	4.176102139	8.735955383	582.1391329	555.444081	252.2735296	5.614427482	9.718881989	4100
M41_3	149.1463804	1.411136545	3.868395104	12.36379104	567.6194725	624.4084124	289.4106729	8.75779956	9.718881989	4100
M39_1	100.92	2.143225699	4.826694473	12.91601293	238.357382	152.5499827	293.7254534	7.159096215	13.14691257	3900
M39_2	126.72	3.145407489	3.270061107	13.02668028	290.8801964	251.8383003	338.7524088	6.05767338	13.14691257	3900
M39_3	82.74	1.221366812	3.90324442	6.157306784	268.1624217	168.101717	172.8721377	6.793230404	13.14691257	3900
M37_1	74.73705405	1.585560635	9.60780832	5.114222741	354.8324502	338.2877096	390.9425438	6.707063065	14.08268337	3700
M37_2	75.58173466	0.793258411	6.514672764	5.08890176	206.8767409	336.3741543	348.977132	6.432611011	14.08268337	3700
M37_3	69.22121128	0.651180954	7.076518916	4.496875498	230.2908089	284.4981361	453.9303241	7.020325924	14.08268337	3700
M35_1	45.73997626	0.683201131	3.567670686	5.625150685	243.7211796	258.1587579	582.1063183	7.225010556	16.33458443	3500
M35_2	83.36535401	0.668916883	1.61391116	5.448663798	182.1578033	248.0068346	635.9986697	6.315738476	16.33458443	3500
M35_3	62.98466973	0.567881986	3.032418154	4.466185517	274.9210171	258.0044075	269.745012	6.889250968	16.33458443	3500
M33_1	25.67105598	0.724162825	10.96396533	2.583522346	46.70647474	360.977704	620.4330932	6.012632958	15.5165926	3300
M33_2	12.6512334	0.424244219	13.27566627	1.180358309	41.95629845	309.5436635	766.6100369	5.704885761	15.5165926	3300
M33_3	32.08771062	0.591592956	13.3593684	1.516119345	58.93722681	312.8186325	595.8068699	5.922481282	15.5165926	3300
