asv	phylum	class	order	family	genus	species
ASV2768	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unclassified_g__Cortinarius
ASV3	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__unclassified_g__Cladosporium
ASV1806	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Inocybaceae	g__Inocybe	s__unclassified_g__Inocybe
ASV2337	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Gliophorus	s__Gliophorus_psittacinus
ASV1558	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV2915	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Clavaria	s__Clavaria_sphagnicola
ASV15	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__unclassified_g__Fusarium
ASV23	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Pezizaceae_gen_Incertae_sedis	s__Pezizaceae_sp
ASV2721	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Cladoniaceae	g__Cladonia	s__Cladonia_subulata
ASV108	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Calloriaceae	g__Polyphilus	s__Polyphilus_sieberi
ASV633	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__Cortinarius_urbicus
ASV3386	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariales_fam_Incertae_sedis	g__Verrucariales_gen_Incertae_sedis	s__Verrucariales_sp
ASV1215	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV4673	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Byssocorticiaceae	g__Athelopsis	s__Athelopsis_lembospora
ASV688	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscyphaceae_gen_Incertae_sedis	s__Hyaloscyphaceae_sp
ASV1541	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariales_fam_Incertae_sedis	g__Verrucariales_gen_Incertae_sedis	s__Verrucariales_sp
ASV3644	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Byssocorticiaceae	g__Athelopsis	s__Athelopsis_lembospora
ASV870	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Cuphophyllus	s__Cuphophyllus_colemannianus
ASV634	p__Basidiomycota	c__Geminibasidiomycetes	o__Geminibasidiales	f__Geminibasidiales_fam_Incertae_sedis	g__Geminibasidiales_gen_Incertae_sedis	s__Geminibasidiales_sp
ASV182	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_elongata
ASV1216	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV2007	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Anthostomelloides	s__Anthostomelloides_leucospermi
ASV7870	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephora	s__Thelephora_scissilis
ASV635	p__Basidiomycota	c__Geminibasidiomycetes	o__Geminibasidiales	f__unclassified_o__Geminibasidiales	g__unclassified_o__Geminibasidiales	s__unclassified_o__Geminibasidiales
ASV375	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_alpina
ASV8217	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV1	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__unclassified_o__Pleosporales	g__unclassified_o__Pleosporales	s__unclassified_o__Pleosporales
ASV10	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Podila	s__Podila_verticillata
ASV4036	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Pilodermataceae	g__Piloderma	s__unclassified_g__Piloderma
ASV4038	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__unclassified_g__Russula
